fee_name_ko,fee_name_en,procedure_group,data_variable,fee
흉부 직접촬영 2매,"Chest Radiography, 2 Views",영상검사,Chest X-ray image; Cardiothoracic ratio; Lung opacity,9930
유방촬영,Mammography,영상검사,Mammography image; BI-RADS category; Breast density,19250
양방사선 골밀도검사-1부위,"DXA Bone Densitometry, 1 Site",영상검사,Bone mineral density; T-score; Z-score,39230
양방사선 골밀도검사-2부위 이상,"DXA Bone Densitometry, 2 or More Sites",영상검사,Lumbar BMD; Femur BMD; T-score; Z-score,46320
비타민 정밀면역검사,Vitamin Immunoassay,영양·골대사검사,25-hydroxy vitamin D; Vitamin B12; Folate,10770
골대사효소 정밀면역검사,Bone Enzyme Immunoassay,영양·골대사검사,Bone-specific alkaline phosphatase,8210
골흡수표지자 정밀면역검사,Bone Resorption Marker Immunoassay,영양·골대사검사,CTX; NTX,14020
부갑상선표지자 정밀면역검사,Parathyroid Marker Immunoassay,영양·골대사검사,PTH,16940
골형성표지자 정밀면역검사,Bone Formation Marker Immunoassay,영양·골대사검사,P1NP; Osteocalcin,16940
프로트롬빈시간,Prothrombin Time,응고검사,PT; INR,2020
활성화부분트롬보플라스틴시간,Activated Partial Thromboplastin Time,응고검사,aPTT,3270
섬유소원,Fibrinogen,응고검사,Fibrinogen,3040
D-이합체 정량검사,Quantitative D-Dimer,응고검사,D-dimer,12590
트리글리세라이드,Triglyceride,지질검사,Triglyceride,3790
총콜레스테롤,Total Cholesterol,지질검사,Total cholesterol,1580
HDL 콜레스테롤,HDL Cholesterol,지질검사,HDL cholesterol,6430
LDL 콜레스테롤,LDL Cholesterol,지질검사,LDL cholesterol,6450
리포프로테인(a),Lipoprotein(a),지질검사,Lipoprotein(a),10660
아포지단백,Apolipoprotein,지질검사,ApoA1; ApoB,7380
표준순음청력검사,Pure Tone Audiometry,청각기능검사,Hearing threshold by frequency; Hearing loss grade,20290
고막운동성계측,Tympanometry,청각기능검사,Tympanogram type; Middle ear pressure; Compliance,11870
갑상선·부갑상선 초음파,Thyroid and Parathyroid Ultrasonography,초음파검사,Thyroid nodule; Gland volume; K-TIRADS finding,72770
유방 초음파-일반,"Breast Ultrasonography, General",초음파검사,Breast lesion; BI-RADS ultrasound; Breast density,98080
유방 초음파-정밀,"Breast Ultrasonography, Detailed",초음파검사,Detailed breast lesion; BI-RADS ultrasound,137310
심초음파-단순,"Echocardiography, Simple",초음파검사,Ejection fraction; Chamber size; Valve finding,88590
심초음파-일반,"Echocardiography, General",초음파검사,Ejection fraction; Wall motion; Diastolic function; Valve finding,139830
복부 초음파-간·담낭·담도·비장·췌장 일반,"Abdominal Ultrasonography, General",초음파검사,Fatty liver; Gallstone; Organ size; Focal lesion,96580
신장·부신·방광 초음파,"Kidney, Adrenal Gland and Bladder Ultrasonography",초음파검사,Renal size; Hydronephrosis; Bladder residual; Mass,77690
경동맥 도플러 초음파,Carotid Artery Doppler Ultrasonography,초음파검사,Carotid IMT; Plaque; Stenosis; Flow velocity,87260
하지 혈관 도플러 초음파,Lower Extremity Vascular Doppler Ultrasonography,초음파검사,Arterial stenosis; Venous thrombosis; Flow velocity,111330
일반혈액검사(CBC)-혈구세포 장비측정,Complete Blood Cell Count by Analyzer,혈액·염증검사,WBC; RBC; Hemoglobin; Hematocrit; Platelet; MCV; MCH; MCHC,1050
혈색소 검사-화학반응 육안검사,Hemoglobin Test,혈액·염증검사,Hemoglobin,850
적혈구침강속도,Erythrocyte Sedimentation Rate,혈액·염증검사,ESR,1030
C-반응성단백 정량검사,Quantitative C-Reactive Protein,혈액·염증검사,CRP; hs-CRP,7120
프로칼시토닌 정량검사,Quantitative Procalcitonin,혈액·염증검사,Procalcitonin,15600
혈액가스검사,Blood Gas,혈액·염증검사,pH; pCO2; pO2; HCO3-,4260
혈액가스분석,Blood Gas Study,혈액·염증검사,ABGA; pH; pCO2; pO2; HCO3-; Base excess,14250
철대사검사-화학반응 장비측정,Iron Metabolism Test by Chemistry Analyzer,혈액·염증검사,Serum iron; TIBC; UIBC,2580
철대사검사-정밀면역검사,Iron Metabolism Test by Immunoassay,혈액·염증검사,Ferritin,9570
기본폐기능검사,Basic Pulmonary Function Test,호흡·수면 기능검사,FVC; FEV1; FEV1/FVC,14110
기류용적폐곡선 검사,Flow-Volume Curve Pulmonary Function Test,호흡·수면 기능검사,FVC; FEV1; PEF; Flow-volume curve,23240
운동부하 심폐기능검사,Cardiopulmonary Exercise Test,호흡·수면 기능검사,VO2 peak; VCO2; Ventilatory threshold; METs,66530
수면다원검사,Polysomnography,호흡·수면 기능검사,AHI; Oxygen desaturation; Sleep stage; Apnea event,488290
